OfficiCardNo	OfficiCardType	status	VehPlate	FreeType	FreeRoadList	Version	StartTime	EndTime	Spare
000018	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000026	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000059	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000067	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000075	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000091	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000109	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000133	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000141	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000158	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000166	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000174	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000182	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000190	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000208	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000216	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000224	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000232	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000240	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000257	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000265	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000273	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000281	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000299	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000307	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000315	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000323	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000349	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000356	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000364	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000372	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000380	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000398	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000406	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000414	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000422	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000430	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
