RoaduniqueId	RoadName	VehTypeStd1	VehTypeStd2	VehTypeStd3	VehTypeStd4	VehTypeStd5	VehWeightStd1	VehWeightStd2	VehWeightStd3	WeightRange1	WeightRange2	WeightRange3	Modulus	Version	StartTime	Status	Spear1	Spear2	Spear3	Spear4
1	机场高速	50	50	100	100	150	0	0	0	10	40	40	1	13	2016-04-28 00:00:00	0				
2	临长	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
3	长益	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
4	长潭	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
5	常张	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
6	张花	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
7	潭耒	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
8	衡大	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
9	长湘	50	80	110	130	150	10	5	5	10	40	40	1	13	2016-04-28 00:00:00	0				
10	怀通	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
11	耒宜	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
12	郴宁	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
13	长沙绕城	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
14	醴茶	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
15	垄茶	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
16	邵怀	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
17	怀新	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
18	衡枣	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
19	汝郴	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
20	长浏	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
21	潭邵	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
22	莲易	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
23	浏醴	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
24	通平	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
25	永蓝	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
26	南岳	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
27	益常	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
28	邵永	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
29	长株	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
30	衡炎	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
31	炎陵	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
32	炎睦	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
33	潭衡西	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
34	常吉	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
35	衡邵	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
36	宜凤	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
37	道贺	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
38	随岳	50	80	110	130	150	10	5	5	10	40	40	1	13	2016-04-28 00:00:00	0				
39	吉茶	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
40	吉怀	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
41	凤大	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
42	长永	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
43	醴潭	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
44	宁道	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
45	衡桂	50	80	110	130	150	10	5	5	10	40	40	1	13	2016-04-28 00:00:00	0				
46	桂武	50	80	110	130	150	10	5	5	10	40	40	1	13	2016-04-28 00:00:00	0				
47	娄新	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
48	大浏	50	80	110	130	150	9	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
49	炎汝	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
50	岳常	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
51	东常	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
